id,name,state,lat,lon,elev_ft,type
KMXX,Maxwell Afb,AL,32.53665,-85.78975,560,NEXRAD
KNKX,San Diego,CA,32.919017,-117.0418,1052,NEXRAD
KNQA,Memphis,TN,35.344722,-89.873333,435,NEXRAD
KOAX,Omaha,NE,41.320369,-96.366819,1262,NEXRAD
KOHX,Nashville,TN,36.247222,-86.5625,676,NEXRAD
KOKX,New York City,NY,40.865528,-72.863917,199,NEXRAD
KOTX,Spokane,WA,47.680417,-117.62677,2449,NEXRAD
KOUN,Norman Nssl,OK,35.236058,-97.46235,1284,TEST
KPAH,Paducah,KY,37.068333,-88.771944,506,NEXRAD
KPBZ,Pittsburgh,PA,40.531717,-80.217967,1266,NEXRAD
KPDT,Pendleton,OR,45.69065,-118.85293,1580,NEXRAD
KPOE,Fort Polk,LA,31.155278,-92.976111,473,NEXRAD
KPUX,Pueblo,CO,38.45955,-104.18135,5363,NEXRAD
KRAX,Raleigh Durham,NC,35.665519,-78.48975,462,NEXRAD
KRGX,Reno,NV,39.754056,-119.46202,8396,NEXRAD
KRIW,Riverton,WY,43.066089,-108.4773,5633,NEXRAD
KRLX,Charleston,WV,38.311111,-81.722778,1213,NEXRAD
KRTX,Portland,OR,45.715039,-122.965,1728,NEXRAD
KSFX,Pocatello,ID,43.1056,-112.68613,4539,NEXRAD
KSGF,Springfield,MO,37.235239,-93.400419,1375,NEXRAD
KSHV,Shreveport,LA,32.450833,-93.84125,387,NEXRAD
KSJT,San Angelo,TX,31.371278,-100.4925,2004,NEXRAD
KSOX,Santa Ana Mountains,CA,33.817733,-117.636,3106,NEXRAD
KSRX,Fort Smith,AR,35.290417,-94.361889,737,NEXRAD
KTBW,Tampa,FL,27.7055,-82.401778,122,NEXRAD
KTFX,Great Falls,MT,47.459583,-111.38533,3805,NEXRAD
KTLH,Tallahassee,FL,30.397583,-84.328944,177,NEXRAD
KTLX,Oklahoma City,OK,35.333361,-97.277761,1278,NEXRAD
KTWX,Topeka,KS,38.99695,-96.23255,1415,NEXRAD
KTYX,Fort Drum,NY,43.755694,-75.679861,1960,NEXRAD
KUDX,Rapid City,SD,44.124722,-102.83,3195,NEXRAD
KUEX,Hastings,NE,40.320833,-98.441944,2057,NEXRAD
KVAX,Moody Afb,GA,30.890278,-83.001806,330,NEXRAD
KVBX,Vandenberg Afb,CA,34.83855,-120.39791,1354,NEXRAD
